Array Design Name	Agendia Mammaprint 1.9k custom microarray
Version	1
Provider	Ryan van Laar (ryan.vanlaar@agendia.com)
Comment[ArrayExpressAccession]	A-MEXP-318
Comment[Description]	Custom printed 1.9k oligonucleotide microarray manufactured by Agilent Technologies Inc.
Comment[SubmittedName]	Agendia Mammaprint 1.9k custom microarray
Comment[Organism]	Homo sapiens
Printing Protocol	Microarrays were prepared by Agilent technologies using their Agilent SurePrint Technology. Breifly, 60-mer oligonucleotides are synthesized base-by-base in repetitive print layers on a solid glass substrate, using standard phosphoramidite chemistry.
Technology Type	spotted_ss_oligo_features
Technology Type Term Accession Number	spotted_ss_oligo_features
Technology Type Term Source REF	The MGED Ontology
Surface Type	unknown_surface_type
Surface Type Term Accession Number	#unknown_surface_type
Surface Type Term Source REF	mo
Substrate Type	glass
Substrate Type Term Accession Number	#glass
Substrate Type Term Source REF	mo
Term Source Name	The MGED Ontology	mo	embl	unigene
Term Source File	http://mged.sourceforge.net/ontologies/MGEDOntology.php	http://mged.sourceforge.net/ontologies/MGEDontology.php	http://www.ebi.ac.uk/embl/	http://www.ncbi.nlm.nih.gov/UniGene/
Term Source Version				

Block Column	Block Row	Column	Row	Reporter Name	Comment[AEReporterName]	Reporter Database Entry[embl]	Reporter Database Entry[unigene]	Reporter Group[role]	Control Type
1	1	12	19	AGEN000912	3xSLv1			Control	control_biosequence
1	1	15	19	AGEN000915	3xSLv1			Control	control_biosequence
1	1	18	19	AGEN000918	3xSLv1			Control	control_biosequence
1	1	19	19	AGEN000919	eQC			Control	control_biosequence
1	1	21	19	AGEN000921	3xSLv1			Control	control_biosequence
1	1	24	19	AGEN000924	3xSLv1			Control	control_biosequence
1	1	27	19	AGEN000927	3xSLv1			Control	control_biosequence
1	1	30	19	AGEN000930	3xSLv1			Control	control_biosequence
1	1	33	19	AGEN000933	3xSLv1			Control	control_biosequence
1	1	36	19	AGEN000936	3xSLv1			Control	control_biosequence
1	1	39	19	AGEN000939	3xSLv1			Control	control_biosequence
1	1	41	19	AGEN000941	eQC			Control	control_biosequence
1	1	42	19	AGEN000942	3xSLv1			Control	control_biosequence
1	1	45	19	AGEN000945	3xSLv1			Control	control_biosequence
1	1	48	19	AGEN000948	3xSLv1			Control	control_biosequence
1	1	1	20	AGEN000951	Pro25G			Control	control_biosequence
1	1	4	20	AGEN000954	Pro25G			Control	control_biosequence
1	1	7	20	AGEN000957	Pro25G			Control	control_biosequence
1	1	10	20	AGEN000960	Pro25G			Control	control_biosequence
1	1	13	20	AGEN000963	Pro25G			Control	control_biosequence
1	1	16	20	AGEN000966	Pro25G			Control	control_biosequence
1	1	19	20	AGEN000969	Pro25G			Control	control_biosequence
1	1	22	20	AGEN000972	Pro25G			Control	control_biosequence
1	1	25	20	AGEN000975	Pro25G			Control	control_biosequence
1	1	28	20	AGEN000978	Pro25G			Control	control_biosequence
1	1	31	20	AGEN000981	Pro25G			Control	control_biosequence
1	1	34	20	AGEN000984	Pro25G			Control	control_biosequence
1	1	37	20	AGEN000987	Pro25G			Control	control_biosequence
1	1	40	20	AGEN000990	Pro25G			Control	control_biosequence
1	1	43	20	AGEN000993	Pro25G			Control	control_biosequence
1	1	46	20	AGEN000996	Pro25G			Control	control_biosequence
1	1	49	20	AGEN000999	Pro25G			Control	control_biosequence
1	1	17	21	AGEN001017	eQC			Control	control_biosequence
1	1	25	22	AGEN001075	eQC			Control	control_biosequence
1	1	2	23	AGEN001102	eQC			Control	control_biosequence
1	1	4	23	AGEN001104	eQC			Control	control_biosequence
1	1	7	23	AGEN001107	eQC			Control	control_biosequence
1	1	33	25	AGEN001233	eQC			Control	control_biosequence
1	1	10	26	AGEN001260	eQC			Control	control_biosequence
1	1	12	26	AGEN001262	eQC			Control	control_biosequence
1	1	41	26	AGEN001291	eQC			Control	control_biosequence
1	1	3	27	AGEN001303	eQC			Control	control_biosequence
1	1	6	27	AGEN001306	eQC			Control	control_biosequence
1	1	18	27	AGEN001318	eQC			Control	control_biosequence
1	1	32	27	AGEN001332	eQC			Control	control_biosequence
1	1	40	27	AGEN001340	eQC			Control	control_biosequence
1	1	44	27	AGEN001344	eQC			Control	control_biosequence
1	1	1	28	AGEN001351	Pro25G			Control	control_biosequence
1	1	4	28	AGEN001354	Pro25G			Control	control_biosequence
1	1	7	28	AGEN001357	Pro25G			Control	control_biosequence
1	1	10	28	AGEN001360	Pro25G			Control	control_biosequence
1	1	13	28	AGEN001363	Pro25G			Control	control_biosequence
1	1	16	28	AGEN001366	Pro25G			Control	control_biosequence
1	1	19	28	AGEN001369	Pro25G			Control	control_biosequence
1	1	22	28	AGEN001372	Pro25G			Control	control_biosequence
1	1	25	28	AGEN001375	Pro25G			Control	control_biosequence
1	1	28	28	AGEN001378	Pro25G			Control	control_biosequence
1	1	31	28	AGEN001381	Pro25G			Control	control_biosequence
1	1	32	28	AGEN001382	eQC			Control	control_biosequence
1	1	34	28	AGEN001384	Pro25G			Control	control_biosequence
1	1	37	28	AGEN001387	Pro25G			Control	control_biosequence
1	1	40	28	AGEN001390	Pro25G			Control	control_biosequence
1	1	43	28	AGEN001393	Pro25G			Control	control_biosequence
1	1	46	28	AGEN001396	Pro25G			Control	control_biosequence
1	1	49	28	AGEN001399	Pro25G			Control	control_biosequence
1	1	2	29	AGEN001402	3xSLv1			Control	control_biosequence
1	1	5	29	AGEN001405	3xSLv1			Control	control_biosequence
1	1	8	29	AGEN001408	3xSLv1			Control	control_biosequence
1	1	11	29	AGEN001411	3xSLv1			Control	control_biosequence
1	1	14	29	AGEN001414	3xSLv1			Control	control_biosequence
1	1	16	29	AGEN001416	eQC			Control	control_biosequence
1	1	17	29	AGEN001417	3xSLv1			Control	control_biosequence
1	1	20	29	AGEN001420	3xSLv1			Control	control_biosequence
1	1	23	29	AGEN001423	3xSLv1			Control	control_biosequence
1	1	26	29	AGEN001426	3xSLv1			Control	control_biosequence
1	1	29	29	AGEN001429	3xSLv1			Control	control_biosequence
1	1	32	29	AGEN001432	3xSLv1			Control	control_biosequence
1	1	35	29	AGEN001435	3xSLv1			Control	control_biosequence
1	1	38	29	AGEN001438	3xSLv1			Control	control_biosequence
1	1	41	29	AGEN001441	3xSLv1			Control	control_biosequence
1	1	44	29	AGEN001444	3xSLv1			Control	control_biosequence
1	1	47	29	AGEN001447	3xSLv1			Control	control_biosequence
1	1	50	29	AGEN001450	3xSLv1			Control	control_biosequence
1	1	1	30	AGEN001451	eQC			Control	control_biosequence
1	1	3	30	AGEN001453	Pro25G			Control	control_biosequence
1	1	6	30	AGEN001456	Pro25G			Control	control_biosequence
1	1	9	30	AGEN001459	Pro25G			Control	control_biosequence
1	1	12	30	AGEN001462	Pro25G			Control	control_biosequence
1	1	15	30	AGEN001465	Pro25G			Control	control_biosequence
1	1	18	30	AGEN001468	Pro25G			Control	control_biosequence
1	1	21	30	AGEN001471	Pro25G			Control	control_biosequence
1	1	24	30	AGEN001474	Pro25G			Control	control_biosequence
1	1	27	30	AGEN001477	Pro25G			Control	control_biosequence
1	1	30	30	AGEN001480	Pro25G			Control	control_biosequence
1	1	33	30	AGEN001483	Pro25G			Control	control_biosequence
1	1	36	30	AGEN001486	Pro25G			Control	control_biosequence
1	1	39	30	AGEN001489	Pro25G			Control	control_biosequence
1	1	42	30	AGEN001492	Pro25G			Control	control_biosequence
1	1	45	30	AGEN001495	Pro25G			Control	control_biosequence
1	1	48	30	AGEN001498	Pro25G			Control	control_biosequence
1	1	17	31	AGEN001517	eQC			Control	control_biosequence
1	1	27	31	AGEN001527	eQC			Control	control_biosequence
1	1	28	31	AGEN001528	eQC			Control	control_biosequence
1	1	41	31	AGEN001541	eQC			Control	control_biosequence
1	1	45	31	AGEN001545	eQC			Control	control_biosequence
1	1	9	32	AGEN001559	eQC			Control	control_biosequence
1	1	13	32	AGEN001563	eQC			Control	control_biosequence
1	1	22	32	AGEN001572	eQC			Control	control_biosequence
1	1	42	32	AGEN001592	eQC			Control	control_biosequence
1	1	32	33	AGEN001632	eQC			Control	control_biosequence
1	1	40	33	AGEN001640	eQC			Control	control_biosequence
1	1	10	34	AGEN001660	eQC			Control	control_biosequence
1	1	39	34	AGEN001689	eQC			Control	control_biosequence
1	1	3	35	AGEN001703	eQC			Control	control_biosequence
1	1	8	35	AGEN001708	eQC			Control	control_biosequence
1	1	15	35	AGEN001715	eQC			Control	control_biosequence
1	1	18	35	AGEN001718	eQC			Control	control_biosequence
1	1	31	35	AGEN001731	eQC			Control	control_biosequence
1	1	1	36	AGEN001751	3xSLv1			Control	control_biosequence
1	1	2	36	AGEN001752	3xSLv1			Control	control_biosequence
1	1	3	36	AGEN001753	3xSLv1			Control	control_biosequence
1	1	25	36	AGEN001775	eQC			Control	control_biosequence
1	1	28	36	AGEN001778	eQC			Control	control_biosequence
1	1	31	36	AGEN001781	eQC			Control	control_biosequence
1	1	36	36	AGEN001786	eQC			Control	control_biosequence
1	1	47	36	AGEN001797	eQC			Control	control_biosequence
1	1	48	36	AGEN001798	3xSLv1			Control	control_biosequence
1	1	49	36	AGEN001799	3xSLv1			Control	control_biosequence
1	1	50	36	AGEN001800	3xSLv1			Control	control_biosequence
1	1	1	37	AGEN001801	Pro25G			Control	control_biosequence
1	1	2	37	AGEN001802	3xSLv1			Control	control_biosequence
1	1	3	37	AGEN001803	3xSLv1			Control	control_biosequence
1	1	28	37	AGEN001828	eQC			Control	control_biosequence
1	1	39	37	AGEN001839	eQC			Control	control_biosequence
1	1	40	37	AGEN001840	eQC			Control	control_biosequence
1	1	48	37	AGEN001848	3xSLv1			Control	control_biosequence
1	1	49	37	AGEN001849	Pro25G			Control	control_biosequence
1	1	50	37	AGEN001850	Pro25G			Control	control_biosequence
1	1	1	38	AGEN001851	Pro25G			Control	control_biosequence
1	1	2	38	AGEN001852	Pro25G			Control	control_biosequence
1	1	3	38	AGEN001853	3xSLv1			Control	control_biosequence
1	1	5	38	AGEN001855	eQC			Control	control_biosequence
1	1	18	38	AGEN001868	eQC			Control	control_biosequence
1	1	31	38	AGEN001881	eQC			Control	control_biosequence
1	1	48	38	AGEN001898	3xSLv1			Control	control_biosequence
1	1	49	38	AGEN001899	Pro25G			Control	control_biosequence
1	1	50	38	AGEN001900	Pro25G			Control	control_biosequence
1	1	3	1	AGEN000003	NM_004930	AK126650	Hs.432760	Experimental	
1	1	4	1	AGEN000004	NM_017777	CR606585	Hs.408843	Experimental	
1	1	5	1	AGEN000005	NM_014921		Hs.94229	Experimental	
1	1	6	1	AGEN000006	NM_002611	AK055119	Hs.256667	Experimental	
1	1	7	1	AGEN000007	PGK1		Hs.78771	Experimental	
1	1	8	1	AGEN000008	NM_000871		Hs.22180	Experimental	
1	1	9	1	AGEN000009	NM_018520		Hs.506011	Experimental	
1	1	10	1	AGEN000010	NM_006671		Hs.104637	Experimental	
1	1	11	1	AGEN000011	NM_016131	AK023223	Hs.467960	Experimental	
1	1	12	1	AGEN000012	NM_013403		Hs.190904	Experimental	
1	1	14	1	AGEN000014	FBXO5	AK055221	Hs.520506	Experimental	
1	1	15	1	AGEN000015	NM_000259	AB209505	Hs.21213	Experimental	
1	1	16	1	AGEN000016	NM_017730		Hs.297389	Experimental	
1	1	17	1	AGEN000017	NM_016347		Hs.458287	Experimental	
1	1	18	1	AGEN000018	NM_002230	BX648177	Hs.514174	Experimental	
1	1	19	1	AGEN000019	MMP9		Hs.297413	Experimental	
1	1	21	1	AGEN000021	NM_007264	BC034761	Hs.483909	Experimental	
1	1	22	1	AGEN000022	LOC51203	AK222819	Hs.511093	Experimental	
1	1	23	1	AGEN000023	FLJ10474	AK222819	Hs.511093	Experimental	
1	1	24	1	AGEN000024	PTDSS1	BC004192	Hs.292579	Experimental	
1	1	25	1	AGEN000025	NM_014713	BF697273	Hs.467807	Experimental	
1	1	26	1	AGEN000026	NM_016621	BX648236	Hs.502458	Experimental	
1	1	27	1	AGEN000027	AL080059		Hs.173094	Experimental	
1	1	28	1	AGEN000028	AP2B1		Hs.514819	Experimental	
1	1	29	1	AGEN000029	DKFZP586F1018	BC092512	Hs.371395	Experimental	
1	1	30	1	AGEN000030	NM_001738	M33987	Hs.23118	Experimental	
1	1	31	1	AGEN000031	NM_006439		Hs.558451	Experimental	
1	1	32	1	AGEN000032	ERP70		Hs.93659	Experimental	
1	1	33	1	AGEN000033	NM_016511	BC067746	Hs.29549	Experimental	
1	1	34	1	AGEN000034	Contig32125_RC	BC092512	Hs.371395	Experimental	
1	1	35	1	AGEN000035	NM_020530		Hs.248156	Experimental	
1	1	36	1	AGEN000036	MGC2827	BC025694	Hs.8035	Experimental	
1	1	37	1	AGEN000037	NM_001736		Hs.2161	Experimental	
1	1	38	1	AGEN000038	NM_005242		Hs.154299	Experimental	
1	1	39	1	AGEN000039	FLJ22477	AF318348	Hs.149004	Experimental	
1	1	41	1	AGEN000041	NM_004343	M84739	Hs.515162	Experimental	
1	1	43	1	AGEN000043	NM_000130		Hs.30054	Experimental	
1	1	44	1	AGEN000044	PRAME	BC040190	Hs.30743	Experimental	
1	1	45	1	AGEN000045	KRT18	CR616919	Hs.406013	Experimental	
1	1	46	1	AGEN000046	NM_018939		Hs.283085	Experimental	
1	1	47	1	AGEN000047	NM_018195	BX538107	Hs.195060	Experimental	
1	1	3	2	AGEN000053	NM_020682	AF226730	Hs.123461	Experimental	
1	1	5	2	AGEN000055	NM_017701	BC059382	Hs.102336	Experimental	
1	1	6	2	AGEN000056	NM_005839		Hs.18192	Experimental	
1	1	7	2	AGEN000057	NM_004142	AJ272137	Hs.312579	Experimental	
1	1	8	2	AGEN000058	FLJ10134	BX648832	Hs.126598	Experimental	
1	1	9	2	AGEN000059	NM_000025		Hs.2549	Experimental	
1	1	10	2	AGEN000060	NM_016174	AB040935	Hs.495230	Experimental	
1	1	11	2	AGEN000061	NM_004770	AF338730	Hs.6702	Experimental	
1	1	12	2	AGEN000062	DKFZP761L0424	BX640796	Hs.445885	Experimental	
1	1	13	2	AGEN000063	NM_006605	AK055999	Hs.157427	Experimental	
1	1	14	2	AGEN000064	NM_000434	AB209011	Hs.520037	Experimental	
1	1	16	2	AGEN000066	NM_000523		Hs.152414	Experimental	
1	1	17	2	AGEN000067	AL133619	AL133619	Hs.29383	Experimental	
1	1	18	2	AGEN000068	L2DTL	BX640796	Hs.445885	Experimental	
1	1	19	2	AGEN000069	NM_003021		Hs.203910	Experimental	
1	1	20	2	AGEN000070	SACS		Hs.159492	Experimental	
1	1	21	2	AGEN000071	NM_000986	CR936772	Hs.127386	Experimental	
1	1	22	2	AGEN000072	NM_003305	AY865574	Hs.150981	Experimental	
1	1	23	2	AGEN000073	PRAME	BC040190	Hs.30743	Experimental	
1	1	24	2	AGEN000074	NM_005787		Hs.478481	Experimental	
1	1	25	2	AGEN000075	NM_001866	BG179412	Hs.522699	Experimental	
1	1	26	2	AGEN000076	NSAP1		Hs.126774	Experimental	
1	1	27	2	AGEN000077	Contig4595	AB209098	Hs.485877	Experimental	
1	1	28	2	AGEN000078	HSU54999		Hs.489353	Experimental	
1	1	29	2	AGEN000079	CENPF		Hs.497741	Experimental	
1	1	30	2	AGEN000080	NM_014784	BC057394	Hs.516954	Experimental	
1	1	31	2	AGEN000081	NM_005056	AB209999	Hs.76272	Experimental	
1	1	32	2	AGEN000082	NM_005383		Hs.532681	Experimental	
1	1	33	2	AGEN000083	NM_018651	AY280798	Hs.529512	Experimental	
1	1	34	2	AGEN000084	NM_004533	X73113	Hs.85937	Experimental	
1	1	35	2	AGEN000085	MATN3		Hs.6985	Experimental	
1	1	36	2	AGEN000086	GGH	CD359152	Hs.78619	Experimental	
1	1	37	2	AGEN000087	NM_014390		Hs.122523	Experimental	
1	1	38	2	AGEN000088	NM_012345		Hs.525006	Experimental	
1	1	40	2	AGEN000090	RAI2	BC027937	Hs.446680	Experimental	
1	1	41	2	AGEN000091	NM_001040	CD013956	Hs.46319	Experimental	
1	1	42	2	AGEN000092	Contig44799_RC		Hs.489353	Experimental	
1	1	45	2	AGEN000095	FUT8	AJ536056	Hs.118722	Experimental	
1	1	46	2	AGEN000096	NM_005750		Hs.177972	Experimental	
1	1	47	2	AGEN000097	FLJ10474	AK222819	Hs.511093	Experimental	
1	1	1	3	AGEN000101	NM_004047	CR596289	Hs.7476	Experimental	
1	1	2	3	AGEN000102	NM_020213	AK091172	Hs.270244	Experimental	
1	1	3	3	AGEN000103	NM_006434	AL117472	Hs.558450	Experimental	
1	1	4	3	AGEN000104	NM_014423		Hs.519313	Experimental	
1	1	5	3	AGEN000105	NM_003967	BC069171	Hs.248198	Experimental	
1	1	6	3	AGEN000106	NM_001833	CR599555	Hs.522114	Experimental	
1	1	8	3	AGEN000108	Contig38288_RC		Hs.144073	Experimental	
1	1	9	3	AGEN000109	Contig50802_RC	AK124814	Hs.351344	Experimental	
1	1	10	3	AGEN000110	FLJ10901	AK001763	Hs.518997	Experimental	
1	1	11	3	AGEN000111	NM_006298		Hs.57679	Experimental	
1	1	12	3	AGEN000112	NM_001042	BC034387	Hs.567249	Experimental	
1	1	13	3	AGEN000113	NM_003245	L10386	Hs.2022	Experimental	
1	1	14	3	AGEN000114	NM_004314		Hs.382188	Experimental	
1	1	15	3	AGEN000115	NM_007102		Hs.32966	Experimental	
1	1	16	3	AGEN000116	NM_012164	AK095377	Hs.494985	Experimental	
1	1	17	3	AGEN000117	PCTK1	AB209465	Hs.496068	Experimental	
1	1	18	3	AGEN000118	STK15		Hs.250822	Experimental	
1	1	19	3	AGEN000119	NM_017700	AK000191	Hs.567286	Experimental	
1	1	20	3	AGEN000120	CFFM4		Hs.250822	Experimental	
1	1	21	3	AGEN000121	MAPRE2	BC007318	Hs.532824	Experimental	
1	1	22	3	AGEN000122	R70506_RC		Hs.530735	Experimental	
1	1	23	3	AGEN000123	BM037	AK222819	Hs.511093	Experimental	
1	1	24	3	AGEN000124	Contig4595	AB209098	Hs.485877	Experimental	
